year,industry,growth_rate
2016,Fashion & Accessories,100
2016,Fashion & Accessories,100
2016,Fashion & Accessories,800
2016,Fashion & Accessories,300
2016,Fashion & Accessories,100
2016,Fashion & Accessories,700
2016,Fashion & Accessories,300
2016,Fashion & Accessories,100
2016,Fashion & Accessories,100
2016,Fashion & Accessories,400
2016,Fashion & Accessories,300
2016,Fashion & Accessories,100
2016,Fashion & Accessories,1100
2016,Fashion & Accessories,300
2016,Fashion & Accessories,100
2016,Fashion & Accessories,100
2016,Fashion & Accessories,600
2016,Fashion & Accessories,300
2016,Fashion & Accessories,100
2016,Fashion & Accessories,100
2016,Fashion & Accessories,800
2016,Fashion & Accessories,300
2016,Fashion & Accessories,100
2016,Fashion & Accessories,100
2017,Fashion & Accessories,1000
2017,Fashion & Accessories,300
2017,Fashion & Accessories,100
2017,Fashion & Accessories,100
2017,Fashion & Accessories,1100
2017,Fashion & Accessories,300
2017,Fashion & Accessories,200
2017,Fashion & Accessories,100
2017,Fashion & Accessories,200
2017,Fashion & Accessories,300
2017,Fashion & Accessories,100
2017,Fashion & Accessories,100
2017,Fashion & Accessories,700
2017,Fashion & Accessories,200
2017,Fashion & Accessories,100
2017,Fashion & Accessories,100
2017,Fashion & Accessories,900
2017,Fashion & Accessories,300
2017,Fashion & Accessories,100
2017,Fashion & Accessories,100
2017,Fashion & Accessories,800
2017,Fashion & Accessories,300
2017,Fashion & Accessories,100
2017,Fashion & Accessories,100
2017,Fashion & Accessories,800
2017,Fashion & Accessories,300
2017,Fashion & Accessories,100
2017,Fashion & Accessories,800
2017,Fashion & Accessories,200
2017,Fashion & Accessories,100
2017,Fashion & Accessories,400
2017,Fashion & Accessories,200
2017,Fashion & Accessories,100
2017,Fashion & Accessories,1100
2017,Fashion & Accessories,300
2017,Fashion & Accessories,100
2017,Fashion & Accessories,100
2017,Fashion & Accessories,900
2017,Fashion & Accessories,300
2017,Fashion & Accessories,100
2017,Fashion & Accessories,100
2017,Fashion & Accessories,700
2017,Fashion & Accessories,300
2017,Fashion & Accessories,100
2018,Fashion & Accessories,1200
2018,Fashion & Accessories,300
2018,Fashion & Accessories,200
2018,Fashion & Accessories,300
2018,Fashion & Accessories,300
2018,Fashion & Accessories,100
2018,Fashion & Accessories,600
2018,Fashion & Accessories,300
2018,Fashion & Accessories,100
2018,Fashion & Accessories,100
2018,Fashion & Accessories,700
2018,Fashion & Accessories,300
2018,Fashion & Accessories,100
2018,Fashion & Accessories,100
2018,Fashion & Accessories,900
2018,Fashion & Accessories,300
2018,Fashion & Accessories,100
